"state","year","NDVI_mean","NDVI_median_min","NDVI_median_max","NDVI_stdDev","EVI_mean","EVI_median_min","EVI_median_max","EVI_stdDev","MVI_mean","MVI_median_min","MVI_median_max","MVI_stdDev","total_pixels","districts_analyzed","AGB_Mg_ha","BGB_Mg_ha","Total_Biomass_Mg_ha","Carbon_Stock_Density_MgC_ha"
"Dadra and Nagar Haveli and Daman and Diu",2018,0.331692077,0.31069328,0.684757889,0.113315417,0.139327911,0.125999385,0.344137195,0.069464028,4.837879001,2.237823851,3.973921351,5.869549574,8665,2,28.0613163655,13.750045019095,41.811361384595,19.6513398507597
"Puducherry",2018,0.596498044,0.638851214,0.638851214,0.157300233,0.371706571,0.381179829,0.381179829,0.133136621,7.592039085,5.549046797,5.549046797,14.7610014,4190,1,100.2148902955,49.105296244795,149.320186540295,70.1804876739386
"Andhra Pradesh",2019,0.669019698,0.468634264,0.771498283,0.123726524,0.413692235,0.205044057,0.501970695,0.097130134,10.25308737,4.267835219,6.94937416,18.22273586,503802,5,113.2514389675,55.493205094075,168.744644061575,79.3099827089402
"Goa",2019,0.667532384,0.699261443,0.730452367,0.132570337,0.315993128,0.326208664,0.34964605,0.103827238,5.130392397,3.455183171,3.747383489,8.200864228,49914,2,82.915866244,40.62877445956,123.54464070356,58.0659811306732
"Gujarat",2019,0.338315731,0.259688416,0.552683639,0.119590924,0.168377286,0.104504832,0.281966903,0.066961697,4.295556835,1.399693893,3.429228583,6.409465047,268413,13,37.081147303,18.16976217847,55.25090948147,25.9679274562909
"Karnataka",2019,0.61994088,0.611457605,0.652264008,0.129760508,0.289450631,0.287158819,0.298896108,0.090018977,11.95079527,3.450638349,6.937944921,25.3131035,35545,3,74.6744209255,36.590466253495,111.264887178995,52.2944969741276
"Kerala",2019,0.661698176,0.630723909,0.701069865,0.112368841,0.337875821,0.276358989,0.375661732,0.099227861,10.266566,3.079716883,5.517012058,17.22024694,18404,9,89.7104424205,43.958116786045,133.668559206545,62.8242228270761
"Maharashtra",2019,0.503988172,0.41597706,0.673745307,0.125717919,0.228451543,0.173879886,0.31054855,0.078579091,5.078343005,2.476256961,4.478124346,9.017178819,394599,7,55.7342041015,27.309760009735,83.043964111235,39.0306631322804
"Odisha",2019,0.665065686,0.568347973,0.707080424,0.115784383,0.374116063,0.309664207,0.412084433,0.0810457,6.421773727,4.481740471,7.481797293,16.19675606,242312,5,100.9630375615,49.471888405135,150.434925966635,70.7044152043185
"Tamil Nadu",2019,0.470075231,0.326166334,0.761798665,0.142003684,0.263158161,0.169920203,0.451043135,0.105064016,7.763441951,1.339018235,7.471243548,20.70950324,44982,8,66.5106089905,32.590198405345,99.100807395845,46.5773794760471
"West Bengal",2019,0.623992668,0.54464366,0.673785304,0.090602087,0.340113342,0.309742625,0.357420892,0.060865488,9.72924209,3.736481092,7.497695234,8.964064633,2449196,3,90.405192691,44.29854441859,134.70373710959,63.3107564415073
"Andaman and Nicobar Islands",2019,0.836387212,0.835758942,0.878947703,0.152543911,0.474862817,0.496084073,0.529325483,0.140887948,8.764529861,4.727762117,7.086677858,11.74383324,660889,3,132.2449046785,64.800003292465,197.044907970965,92.6111067463536
"Dadra and Nagar Haveli and Daman and Diu",2019,0.343545917,0.322409664,0.618056726,0.114139757,0.145578554,0.129844582,0.301065793,0.066750699,2.289707375,1.709106721,4.134712833,2.720470348,8665,2,30.002141017,14.70104909833,44.70319011533,21.0104993542051
"Puducherry",2019,0.609537491,0.650554512,0.650554512,0.136503402,0.382197046,0.400451724,0.400451724,0.116286284,8.275084174,5.557869867,5.557869867,14.54992053,4190,1,103.472182783,50.70136956367,154.17355234667,72.4615696029349
"Andhra Pradesh",2020,0.711783927,0.537725237,0.777399895,0.121116191,0.450085949,0.236113473,0.505859926,0.10644865,14.17355056,4.464726725,10.92089463,24.22218719,503802,5,124.5516871645,61.030326710605,185.582013875105,87.2235465212993
"Goa",2020,0.689737216,0.722671784,0.746270703,0.129686173,0.329044822,0.333891687,0.361226553,0.108072169,4.616060511,3.257673996,3.73976131,6.691044405,49914,2,86.968417231,42.61452444319,129.58294167419,60.9039825868693
"Gujarat",2020,0.397663764,0.300626511,0.658450113,0.128069291,0.197795361,0.115206178,0.360297111,0.076430384,5.543722026,1.720422382,4.502247813,8.386140738,260221,13,46.2154595905,22.645575199345,68.861034789845,32.3646863512271
"Karnataka",2020,0.649446984,0.658353265,0.685545215,0.131549312,0.303617496,0.30671371,0.322057329,0.098812697,11.51491075,3.43176943,8.952305633,25.84594042,35545,3,79.073232508,38.74588392892,117.81911643692,55.3749847253524
"Kerala",2020,0.685266383,0.636773485,0.724615709,0.107377137,0.353110772,0.254531314,0.405614933,0.102273983,9.62145826,3.433568426,5.483070611,16.62964995,18404,9,94.440894706,46.27603840594,140.71693311194,66.1369585626118
"Maharashtra",2020,0.587588467,0.519666676,0.730576003,0.140167972,0.271225994,0.220736734,0.334020981,0.092970373,4.724328493,2.492807688,3.492098169,8.304652996,394599,7,69.015671137,33.81767885713,102.83334999413,48.3316744972411
"Odisha",2020,0.670102698,0.568190306,0.791050665,0.103180243,0.385615879,0.335242003,0.482221937,0.079103672,5.863560973,3.499904604,5.771316033,14.08193361,242312,5,104.5337304295,51.221527910455,155.755258339955,73.2049714197788
"Tamil Nadu",2020,0.517893758,0.373116597,0.767667971,0.153654566,0.295363573,0.173808645,0.466975446,0.123294174,8.854911903,1.33408478,6.538289632,22.46598754,44456,8,76.5103894165,37.490090814085,114.000480230585,53.5802257083749
"West Bengal",2020,0.606172085,0.572142059,0.658240537,0.087020554,0.348146624,0.337025439,0.377924994,0.059272301,8.235530194,4.547921505,6.491023166,7.99569576,2449196,3,92.899526752,45.52076810848,138.42029486048,65.0575385844256
"Andaman and Nicobar Islands",2020,0.830430154,0.804686307,0.87114183,0.142128851,0.460279891,0.482396465,0.517633219,0.131746424,7.930773637,3.550280667,6.526228949,9.884720777,660436,3,127.7169061555,62.581284016195,190.298190171695,89.4401493806966
"Dadra and Nagar Haveli and Daman and Diu",2020,0.465057634,0.45880603,0.671502375,0.119272009,0.196643138,0.181626055,0.334209355,0.078766398,8.247815568,3.242106821,3.734594265,8.631570094,8665,2,45.857694349,22.47027023101,68.32796458001,32.1141433526047
"Puducherry",2020,0.636708369,0.681895865,0.681895865,0.139648634,0.413929194,0.435586834,0.435586834,0.125254649,6.299880385,5.512553799,5.512553799,11.84050229,4190,1,113.325014737,55.52925722113,168.85427195813,79.3615078203211
"Andhra Pradesh",2021,0.700936603,0.524840434,0.79884407,0.112814243,0.425016204,0.227493981,0.505882417,0.095658307,21.64023226,4.778995576,14.93615941,28.5260192,503728,5,116.767531342,57.21609035758,173.98362169958,81.7723021988026
"Goa",2021,0.688750156,0.708938838,0.753909497,0.124724278,0.323933262,0.330050131,0.361288343,0.100587133,5.763811961,3.469526359,3.497056687,10.13086274,49914,2,85.381277851,41.83682614699,127.21810399799,59.7925088790553
"Gujarat",2021,0.392565183,0.277354317,0.669775533,0.124220021,0.195076282,0.120019246,0.36423771,0.072900646,6.345175577,1.727429705,4.485314035,8.191423376,268450,13,45.371185561,22.23188092489,67.60306648589,31.7734412483683
"Karnataka",2021,0.65139247,0.654343824,0.67564714,0.119954081,0.302858993,0.30288005,0.315312997,0.090997594,16.64552973,4.428796816,10.51578874,33.57080605,35545,3,78.8377173265,38.630481489985,117.468198816485,55.2100534437479
"Kerala",2021,0.708643045,0.662119335,0.748067531,0.102425695,0.368363064,0.330405595,0.392475725,0.098233618,11.6232581,3.512872985,6.453312933,18.60908438,18395,9,99.176731372,48.59659837228,147.77332974428,69.4534649798116
"Maharashtra",2021,0.550916547,0.498044715,0.697306044,0.123845495,0.248891405,0.212943463,0.318377129,0.076447213,4.653723885,2.477626783,3.48603631,8.182521224,394599,7,62.0807812525,30.419582813725,92.500364066225,43.4751711111257
"Odisha",2021,0.698648875,0.626741336,0.775528271,0.112258747,0.383452735,0.320928261,0.443376036,0.083634549,5.589562754,3.485290242,5.461219406,14.06999399,242312,5,103.8620742175,50.892416366575,154.754490584075,72.7346105745152
"Tamil Nadu",2021,0.515527383,0.363108552,0.779522623,0.151293167,0.2817629,0.154433291,0.451327897,0.120598903,10.86865038,1.00842129,6.429166856,24.76374826,43751,8,72.28738045,35.4208164205,107.7081968705,50.622852529135
"West Bengal",2021,0.565304692,0.529518634,0.574226693,0.087194079,0.321194205,0.2940703,0.327145969,0.051949737,24.42611705,3.269470276,10.48498276,24.12848,2449196,3,84.5308006525,41.420092319725,125.950892972225,59.1969196969457
"Andaman and Nicobar Islands",2021,0.838905509,0.839667087,0.878958177,0.15767206,0.472582325,0.494155217,0.527352984,0.13780653,8.13841903,4.787283744,6.535057231,12.75630156,649352,3,131.5368119125,64.453037837125,195.989849749625,92.1152293823238
"Dadra and Nagar Haveli and Daman and Diu",2021,0.416301792,0.408291059,0.690651168,0.111014139,0.175737268,0.164980545,0.362093531,0.072111958,8.801079312,3.445635212,4.148225197,8.64101513,8665,2,39.366421714,19.28954663986,58.65596835386,27.5683051263142
"Puducherry",2021,0.676879641,0.728800676,0.728800676,0.142475038,0.422949829,0.451126189,0.451126189,0.134470897,6.58393018,5.512000321,5.512000321,10.29766882,4190,1,116.1259219045,56.901701733205,173.027623637705,81.3229831097213
"Andhra Pradesh",2022,0.722342041,0.561541271,0.779313445,0.116423096,0.450667447,0.244852043,0.501937744,0.099993158,16.80644796,6.861632373,18.43740067,30.29772113,503798,5,124.7322422935,61.118798723815,185.851041017315,87.349989278138
"Goa",2022,0.694719276,0.71687497,0.767713607,0.117840905,0.32133242,0.330154824,0.365464063,0.096422353,5.316228406,3.462635093,3.508921173,8.65078635,49914,2,84.57371641,41.4411210409,126.0148374509,59.226973601923
"Gujarat",2022,0.409414229,0.308563189,0.728724692,0.123337599,0.204528313,0.120215284,0.44228883,0.073243428,7.305306221,1.720587283,4.790564463,7.418011831,268450,13,48.3060411865,23.669960181385,71.976001367885,33.8287206429059
"Karnataka",2022,0.682328438,0.661944603,0.716833029,0.113115524,0.320198104,0.322285215,0.326127102,0.086331986,11.94784737,3.00538071,8.495855067,29.48780039,35545,3,84.221511292,41.26854053308,125.49005182508,58.9803243577876
"Kerala",2022,0.691067159,0.638697516,0.728928004,0.095492795,0.357031365,0.330564919,0.376672875,0.0880217,9.178341978,3.061180341,5.514526003,16.4983124,18404,9,95.6582388325,46.872537027925,142.530775860425,66.9894646543997
"Maharashtra",2022,0.572096381,0.527392263,0.724610192,0.122086121,0.259975992,0.228469855,0.330118229,0.080442329,4.920785531,2.509208825,4.462868912,8.273686114,394599,7,65.522545516,32.10604730284,97.62859281884,45.8854386248548
"Odisha",2022,0.735748511,0.650048396,0.771611174,0.096436962,0.43286971,0.376049967,0.470684383,0.082105232,6.664970965,4.486813047,6.490028889,14.52537573,242312,5,119.206044955,58.41096202795,177.61700698295,83.4799932819865
"Tamil Nadu",2022,0.530669346,0.363203882,0.791064219,0.146250853,0.294495944,0.166179822,0.470726631,0.118615351,17.74597286,3.451967116,8.978078746,29.31467439,44995,8,76.240990612,37.35808539988,113.59907601188,53.3915657255836
"West Bengal",2022,0.645873348,0.638619115,0.677692669,0.094306068,0.373248505,0.38866465,0.396079341,0.070907475,22.96049715,4.744384289,12.97891865,19.51956883,2449196,3,100.6936608025,49.339893793225,150.033554595725,70.5157706599907
"Andaman and Nicobar Islands",2022,0.850975305,0.828913505,0.886822856,0.14867008,0.493937754,0.517603428,0.574427515,0.134286231,7.919203296,4.857562542,7.02221322,12.42851332,661342,3,138.167672617,67.70215958233,205.86983219933,96.7588211336851
"Dadra and Nagar Haveli and Daman and Diu",2022,0.464394735,0.466907652,0.633642455,0.103178827,0.195710054,0.190383376,0.293730315,0.064560004,4.73525749,2.530904001,3.020082483,5.15697874,8665,2,45.567971767,22.32830616583,67.89627793283,31.9112506284301
"Puducherry",2022,0.678820385,0.720824338,0.720824338,0.113203369,0.437030918,0.462829386,0.462829386,0.112030606,8.955685957,6.499123895,6.499123895,14.42162835,4190,1,120.498100039,59.04406901911,179.54216905811,84.3848194573117
"Andhra Pradesh",2023,0.715044003,0.58906499,0.746190754,0.110089539,0.441237456,0.274887748,0.474596955,0.094501628,14.73267183,6.46579706,10.9426733,24.8017795,503803,5,121.804230088,59.68407274312,181.48830283112,85.2995023306264
"Goa",2023,0.678631687,0.707032224,0.751967832,0.132725435,0.325522588,0.337973526,0.369208369,0.102608061,4.884466486,3.528334789,3.729600564,7.238848974,49914,2,85.874763574,42.07863415126,127.95339772526,60.1380969308722
"Gujarat",2023,0.398813316,0.298889139,0.665859681,0.122485926,0.198615758,0.116194745,0.368041414,0.070515111,4.419845084,1.730289069,4.254709423,6.180142006,268445,13,46.470192859,22.77039450091,69.24058735991,32.5430760591577
"Karnataka",2023,0.656591635,0.635040902,0.689465715,0.11524087,0.312572949,0.309595392,0.318438662,0.082609541,9.990147251,3.373859626,7.506050553,23.09124746,35545,3,81.8539006645,40.108411325605,121.962311990105,57.3222866353493
"Kerala",2023,0.708841412,0.669625048,0.755933333,0.095764143,0.37162738,0.348571116,0.404071347,0.09425411,9.552056964,3.289725949,5.61315799,15.52663569,18404,9,100.19030149,49.0932477301,149.2835492201,70.163268133447
"Maharashtra",2023,0.544448722,0.424232517,0.705082874,0.116218878,0.238857874,0.184732761,0.326176293,0.069143586,4.00037839,2.476210944,4.468403736,7.228624989,394599,7,58.965369877,28.89303123973,87.85840111673,41.2934485248631
"Odisha",2023,0.686354302,0.614998352,0.736199435,0.107221298,0.38107883,0.344619806,0.42369611,0.078684265,5.588918527,3.470671965,5.511270568,13.00195873,242312,5,103.124976715,50.53123859035,153.65621530535,72.2184211935145
"Tamil Nadu",2023,0.544726389,0.433403658,0.7404513,0.154011657,0.315735893,0.220707111,0.43781918,0.121627686,16.77580241,3.45900001,8.472983032,28.71766781,44890,8,82.8359947765,40.589637440485,123.425632216985,58.0100471419829
"West Bengal",2023,0.588317581,0.552699096,0.619150388,0.09600183,0.346409203,0.321380561,0.366232745,0.063446474,37.92331434,4.252030044,14.9646495,24.41613793,2449196,3,92.3600575315,45.256428190435,137.616485721935,64.6797482893094
"Andaman and Nicobar Islands",2023,0.852231646,0.863399823,0.886774493,0.130664111,0.491519534,0.509765517,0.574252942,0.131163774,8.417353432,4.818960851,7.49725393,10.87073857,658124,3,137.416815307,67.33423950043,204.75105480743,96.2329957594921
"Dadra and Nagar Haveli and Daman and Diu",2023,0.431289689,0.419769334,0.682394333,0.110327945,0.182213668,0.170866099,0.334684045,0.066413969,3.775788914,2.742257869,4.567412483,4.692136864,8665,2,41.377343914,20.27489851786,61.65224243186,28.9765539429742
"Puducherry",2023,0.671338084,0.712915382,0.712915382,0.105922563,0.432507718,0.455153231,0.455153231,0.101314973,8.280387425,6.229400998,6.229400998,12.62533874,4190,1,119.093646439,58.35588675511,177.44953319411,83.4012806012317
"Andhra Pradesh",2024,0.703269908,0.545913478,0.746127497,0.11134486,0.445656945,0.333247994,0.478513213,0.095117484,12.88926223,4.465677198,8.981873113,21.69419308,503803,5,123.1764814225,60.356475897025,183.532957319525,86.2604899401767
"Goa",2024,0.695564184,0.722737169,0.779258219,0.129931707,0.335630925,0.345683303,0.388796853,0.10088732,4.717076816,3.256505794,3.461585147,7.689283519,49914,2,89.0134022125,43.616567084125,132.629969296625,62.3360855694137
"Gujarat",2024,0.398889424,0.300776972,0.668732321,0.131169616,0.200678678,0.130780928,0.36078717,0.075963318,5.576256775,1.739093755,3.472140914,6.903360306,268448,13,47.110729519,23.08425746431,70.19498698331,32.9916438821557
"Karnataka",2024,0.685413296,0.693529684,0.722597226,0.121225357,0.335699546,0.341759488,0.36921515,0.090706489,10.24473257,3.499841084,8.485816324,24.66772499,35545,3,89.034709033,43.62700742617,132.66171645917,62.3510067358099
"Kerala",2024,0.702299394,0.673256483,0.752088907,0.111085945,0.379816635,0.31301886,0.436480545,0.101803784,9.894039982,3.450345672,5.51848611,17.17551124,18404,9,102.7330651675,50.339201932075,153.072267099575,71.9439655368002
"Maharashtra",2024,0.5915791,0.55659947,0.728465314,0.11923737,0.271953203,0.244209882,0.341831061,0.077236918,4.016097592,2.491704802,4.477618993,7.590191621,394599,7,69.2414695315,33.928320070435,103.169789601935,48.4898011129094
"Odisha",2024,0.684981096,0.615107483,0.748235765,0.096399048,0.392450688,0.354665127,0.439458749,0.072579048,5.744736628,4.44247413,5.531482747,13.73530751,242312,5,106.655938624,52.26140992576,158.91734854976,74.6911538183872
"Tamil Nadu",2024,0.548668719,0.457290264,0.767712239,0.149327034,0.341352524,0.259733093,0.470776141,0.117429591,8.08780483,1.429511631,5.495670227,20.40861594,44995,8,90.789958702,44.48707976398,135.27703846598,63.5802080790106
"West Bengal",2024,0.60729888,0.563908388,0.634757627,0.094653673,0.353096476,0.340683943,0.372089335,0.063035994,21.99901458,3.269698008,10.95545665,20.01304455,2449196,3,94.436455798,46.27386334102,140.71031913902,66.1338499953394
"Andaman and Nicobar Islands",2024,0.854423631,0.871280768,0.886752838,0.120232279,0.492274332,0.513679308,0.595746962,0.124402476,8.646969431,4.792242147,7.502319578,11.79313452,661268,3,137.651180086,67.44907824214,205.10025832814,96.3971214142258
"Dadra and Nagar Haveli and Daman and Diu",2024,0.45459313,0.435516085,0.712155398,0.110799303,0.197576792,0.180687581,0.36190443,0.074401839,3.993716066,2.519515987,4.392004997,4.041928478,8665,2,46.147593916,22.61232101884,68.75991493484,32.3171600193748
"Puducherry",2024,0.659879294,0.693521584,0.693521584,0.097227396,0.431706848,0.458827938,0.458827938,0.092604648,7.708004315,5.506450563,5.506450563,12.68149971,4190,1,118.844976304,58.23403838896,177.07901469296,83.2271369056912
"Andhra Pradesh",2025,0.734961479,0.563362184,0.793035718,0.114528939,0.461866604,0.333916746,0.521492285,0.10108288,16.11059197,6.864365545,10.94513187,27.48353632,503803,5,128.209580542,62.82269446558,191.03227500758,89.7851692535626
"Goa",2025,0.694005015,0.722599931,0.77766334,0.124285686,0.325115607,0.337901507,0.377105769,0.098752714,5.090030275,3.253345259,3.484336019,7.52217383,49914,2,85.7483959735,42.016714027015,127.765110000515,60.049601700242
"Gujarat",2025,0.399941108,0.285107858,0.714802296,0.136334488,0.198620529,0.130820704,0.384597021,0.079746742,6.206264502,1.731640853,4.484125458,8.129603838,268450,13,46.4716742545,22.771120384705,69.242794639205,32.5441134804263
"Karnataka",2025,0.700338855,0.697390407,0.746139402,0.128437366,0.340047218,0.341859795,0.365048915,0.096262391,10.64077108,3.436468536,9.50255387,25.31749209,35545,3,90.384661189,44.28848398261,134.67314517161,63.2963782306567
"Kerala",2025,0.728684002,0.677802837,0.78708785,0.116502951,0.393401364,0.321686463,0.435655036,0.106142059,10.38031895,3.444086594,5.479175015,17.77473586,18404,9,106.951123522,52.40605052578,159.35717404778,74.8978718024566
"Maharashtra",2025,0.586257046,0.532927108,0.7129014,0.121793002,0.270799222,0.240259656,0.330122708,0.0796853,4.197235134,2.493970255,4.476197483,7.352765366,394599,7,68.883158431,33.75274763119,102.63590606219,48.2388758492293
"Odisha",2025,0.686986322,0.464832904,0.783453603,0.10105228,0.398924138,0.255785551,0.478711469,0.080529216,5.808703414,2.47434843,6.775915328,12.75806812,242312,5,108.665944849,53.24631297601,161.91225782501,76.0987611777547
"Tamil Nadu",2025,0.608398775,0.526995261,0.798633584,0.155832613,0.352084,0.282968045,0.49439585,0.129567372,14.34168602,4.516986997,6.516135128,25.37283432,44981,8,94.122082,46.11982018,140.24190218,65.9136940246
"West Bengal",2025,0.644372046,0.599183869,0.677768891,0.100226566,0.36965863,0.350888973,0.380878738,0.069743272,12.92335545,3.78160556,8.956461567,12.21939336,2449196,3,99.579004615,48.79371226135,148.37271687635,69.7351769318845
"Andaman and Nicobar Islands",2025,0.864200599,0.883805315,0.894579775,0.13270287,0.499767183,0.517571604,0.597671815,0.128292415,8.572187645,4.839426051,7.033560246,16.02772739,661361,3,139.9777103215,68.589078057535,208.566788379035,98.0263905381465
"Dadra and Nagar Haveli and Daman and Diu",2025,0.464524133,0.447388569,0.698442513,0.106329055,0.197714243,0.180684482,0.343067757,0.070905209,5.359142286,3.748327123,3.850504785,4.845808922,8665,2,46.1902724515,22.633233501235,68.823505952735,32.3470477977855
"Puducherry",2025,0.706152388,0.748209169,0.748209169,0.101391299,0.453427643,0.486577104,0.486577104,0.101685815,8.008766753,6.462141469,6.462141469,13.03041412,4190,1,125.5892831515,61.538748744235,187.128031895735,87.9501749909954
