"state","year","very_dense","moderately_dense","open_mangrove","OF_factor","MDF_factor","VDF_factor","carbon_open","carbon_moderately_dense","carbon_very_dense","total_carbon_stock","period"
"Goa",2027,0,26.5000000000025,8.744255001514,46.18,NA,117.53,40380.9695969917,NA,0,40380.9695969917,"Forecast"
"Goa",2028,0,27.1875000000031,9.16901489583305,46.18,NA,117.53,42342.510788957,NA,0,42342.510788957,"Forecast"
"Goa",2029,0,27.8750000000037,9.57224396056609,46.18,NA,117.53,44204.6226098942,NA,0,44204.6226098942,"Forecast"
"Goa",2030,0,28.5625000000044,9.93097111495298,46.18,NA,117.53,45861.2246088529,NA,0,45861.2246088529,"Forecast"
"Goa",2031,0,29.250000000005,10.2726194603809,46.18,NA,117.53,47438.9566680388,NA,0,47438.9566680388,"Forecast"
"Goa",2032,0,29.9375000000056,10.6225973715365,46.18,NA,117.53,49055.1546617553,NA,0,49055.1546617553,"Forecast"
"Goa",2033,0,30.6250000000062,10.9844417799548,46.18,NA,117.53,50726.1521398311,NA,0,50726.1521398311,"Forecast"
"Gujarat",2003,0,198,762,45.35,110.73,NA,3455670,2192454,NA,5648124,"Historical"
"Gujarat",2004,0,196.5,751.5,45.35,110.73,NA,3408052.5,2175844.5,NA,5583897,"Historical"
"Gujarat",2005,0,195,741,45.35,110.73,NA,3360435,2159235,NA,5519670,"Historical"
"Gujarat",2006,0,193.25,770.25,45.35,110.73,NA,3493083.75,2139857.25,NA,5632941,"Historical"
"Gujarat",2007,0,191.5,799.5,45.35,110.73,NA,3625732.5,2120479.5,NA,5746212,"Historical"
"Gujarat",2008,0,189.75,828.75,45.35,110.73,NA,3758381.25,2101101.75,NA,5859483,"Historical"
"Gujarat",2009,0,188,858,45.35,110.73,NA,3891030,2081724,NA,5972754,"Historical"
"Gujarat",2010,0,185,867,45.35,110.73,NA,3931845,2048505,NA,5980350,"Historical"
"Gujarat",2011,0,182,876,45.35,110.73,NA,3972660,2015286,NA,5987946,"Historical"
"Gujarat",2012,0,178.5,902,45.35,110.73,NA,4090570,1976530.5,NA,6067100.5,"Historical"
"Gujarat",2013,0,175,928,45.35,110.73,NA,4208480,1937775,NA,6146255,"Historical"
"Gujarat",2014,0,174.5,930.5,45.35,110.73,NA,4219817.5,1932238.5,NA,6152056,"Historical"
"Gujarat",2015,0,174,933,45.35,110.73,NA,4231155,1926702,NA,6157857,"Historical"
"Gujarat",2016,0,173,950.5,45.35,110.73,NA,4310517.5,1915629,NA,6226146.5,"Historical"
"Gujarat",2017,0,172,968,45.35,110.73,NA,4389880,1904556,NA,6294436,"Historical"
"Gujarat",2018,0,172.565,1008.045,45.35,110.73,NA,4571484.075,1910812.245,NA,6482296.32,"Historical"
"Gujarat",2019,0,173.13,1048.09,45.35,110.73,NA,4753088.15,1917068.49,NA,6670156.64,"Historical"
"Gujarat",2020,0,170.325,1040.555,45.35,110.73,NA,4718916.925,1886008.725,NA,6604925.65,"Historical"
"Gujarat",2021,0,167.52,1033.02,45.35,110.73,NA,4684745.7,1854948.96,NA,6539694.66,"Historical"
"Gujarat",2022,0,173.305,1008.995,45.35,110.73,NA,4575792.325,1919006.265,NA,6494798.59,"Historical"
"Gujarat",2023,0,179.09,984.97,45.35,110.73,NA,4466838.95,1983063.57,NA,6449902.52,"Historical"
"Gujarat",2024,0,184.875,968.593770325983,45.35,110.73,NA,4392572.74842833,2047120.875,NA,6439693.62342833,"Forecast"
"Gujarat",2025,0,190.66,957.431193912407,45.35,110.73,NA,4341950.46439277,2111178.18,NA,6453128.64439277,"Forecast"
"Gujarat",2026,0,196.445,949.822414927913,45.35,110.73,NA,4307444.65169809,2175235.485,NA,6482680.13669809,"Forecast"
"Gujarat",2027,0,202.23,944.636021080299,45.35,110.73,NA,4283924.35559916,2239292.79,NA,6523217.14559916,"Forecast"
"Gujarat",2028,0,208.015,941.100804562987,45.35,110.73,NA,4267892.14869315,2303350.095,NA,6571242.24369315,"Forecast"
"Gujarat",2029,0,213.8,938.691084786301,45.35,110.73,NA,4256964.06950587,2367407.4,NA,6624371.46950588,"Forecast"
"Gujarat",2030,0,219.585,937.048540581804,45.35,110.73,NA,4249515.13153848,2431464.705,NA,6680979.83653848,"Forecast"
"Gujarat",2031,0,225.37,935.928928463487,45.35,110.73,NA,4244437.69058191,2495522.01,NA,6739959.70058192,"Forecast"
"Gujarat",2032,0,231.155,935.165764043284,45.35,110.73,NA,4240976.73993629,2559579.315,NA,6800556.0549363,"Forecast"
"Gujarat",2033,0,236.94,934.645566090141,45.35,110.73,NA,4238617.64221879,2623636.62,NA,6862254.26221879,"Forecast"
"Karnataka",2003,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2004,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2005,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2006,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2007,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2008,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2009,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2010,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2011,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2012,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2013,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2014,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2015,0,3,0,56.74,111.35,NA,0,33405,NA,33405,"Historical"
"Karnataka",2016,0,2.5,4,56.74,111.35,NA,22696,27837.5,NA,50533.5,"Historical"
"Karnataka",2017,0,2,8,56.74,111.35,NA,45392,22270,NA,67662,"Historical"
"Karnataka",2018,0.02,1.95,8.2025,56.74,111.35,NA,46540.985,21713.25,NA,68254.235,"Historical"
"Karnataka",2019,0.04,1.9,8.405,56.74,111.35,NA,47689.97,21156.5,NA,68846.47,"Historical"
"Karnataka",2020,0.075,2.055,8.8725,56.74,111.35,NA,50342.565,22882.425,NA,73224.99,"Historical"
"Karnataka",2021,0.11,2.21,9.34,56.74,111.35,NA,52995.16,24608.35,NA,77603.51,"Historical"
"Karnataka",2022,0.11,2.68,10.14,56.74,111.35,NA,57534.36,29841.8,NA,87376.16,"Historical"
"Karnataka",2023,0.11,3.15,10.94,56.74,111.35,NA,62073.56,35075.25,NA,97148.81,"Historical"
"Karnataka",2024,0.11,3.482995631122,11.5079613187639,56.74,111.35,NA,65296.1725226665,38783.1563525435,NA,104079.32887521,"Forecast"
"Karnataka",2025,0.11,3.71892348292273,12.0547028171873,56.74,111.35,NA,68398.3837847206,41410.2129823445,NA,109808.596767065,"Forecast"
"Karnataka",2026,0.11,3.88607868273047,12.6014443156106,56.74,111.35,NA,71500.5950467746,43271.4861322038,NA,114772.081178978,"Forecast"
"Karnataka",2027,0.11,4.00450836625239,13.1481858140339,56.74,111.35,NA,74602.8063088286,44590.2006582204,NA,119193.006967049,"Forecast"
"Karnataka",2028,0.11,4.08841595605657,13.6949273124573,56.74,111.35,NA,77705.0175708827,45524.5116706899,NA,123229.529241573,"Forecast"
"Karnataka",2029,0.11,4.14786459610501,14.2416688108806,56.74,111.35,NA,80807.2288329367,46186.4722776293,NA,126993.701110566,"Forecast"
