"state","year","very_dense","moderately_dense","open_mangrove","OF_factor","MDF_factor","VDF_factor","carbon_open","carbon_moderately_dense","carbon_very_dense","total_carbon_stock","period"
"Daman & Diu",2025,0,0.104777849877811,3.87233069839721,60.15,NA,NA,23292.0691508592,NA,NA,23292.0691508592,"Forecast"
"Daman & Diu",2026,0,0.0508438742666429,3.96875079145522,60.15,NA,NA,23872.0360106032,NA,NA,23872.0360106032,"Forecast"
"Daman & Diu",2027,0,0.0175320035079914,4.10636277288188,60.15,NA,NA,24699.7720788845,NA,NA,24699.7720788845,"Forecast"
"Daman & Diu",2028,0,0.00788653824244163,4.25686096688268,60.15,NA,NA,25605.0187157993,NA,NA,25605.0187157993,"Forecast"
"Daman & Diu",2029,0,0.0169377040674689,4.39638558489583,60.15,NA,NA,26444.2592931484,NA,NA,26444.2592931484,"Forecast"
"Daman & Diu",2030,0,0.0358231554502284,4.52456494678352,60.15,NA,NA,27215.2581549029,NA,NA,27215.2581549029,"Forecast"
"Daman & Diu",2031,0,0.0556991890133213,4.65149533780172,60.15,NA,NA,27978.7444568773,NA,NA,27978.7444568773,"Forecast"
"Daman & Diu",2032,0,0.0703531252153629,4.78266106807037,60.15,NA,NA,28767.7063244433,NA,NA,28767.7063244433,"Forecast"
"Daman & Diu",2033,0,0.0771728358594152,4.91659894286264,60.15,NA,NA,29573.3426413188,NA,NA,29573.3426413188,"Forecast"
"Goa",2003,0,10,0,46.18,NA,117.53,0,NA,0,0,"Historical"
"Goa",2004,0,12,1,46.18,NA,117.53,4618,NA,0,4618,"Historical"
"Goa",2005,0,14,2,46.18,NA,117.53,9236,NA,0,9236,"Historical"
"Goa",2006,0,14,2.25,46.18,NA,117.53,10390.5,NA,0,10390.5,"Historical"
"Goa",2007,0,14,2.5,46.18,NA,117.53,11545,NA,0,11545,"Historical"
"Goa",2008,0,14,2.75,46.18,NA,117.53,12699.5,NA,0,12699.5,"Historical"
"Goa",2009,0,14,3,46.18,NA,117.53,13854,NA,0,13854,"Historical"
"Goa",2010,0,17,2.5,46.18,NA,117.53,11545,NA,0,11545,"Historical"
"Goa",2011,0,20,2,46.18,NA,117.53,9236,NA,0,9236,"Historical"
"Goa",2012,0,20,2,46.18,NA,117.53,9236,NA,0,9236,"Historical"
"Goa",2013,0,20,2,46.18,NA,117.53,9236,NA,0,9236,"Historical"
"Goa",2014,0,20,4,46.18,NA,117.53,18472,NA,0,18472,"Historical"
"Goa",2015,0,20,6,46.18,NA,117.53,27708,NA,0,27708,"Historical"
"Goa",2016,0,20,6,46.18,NA,117.53,27708,NA,0,27708,"Historical"
"Goa",2017,0,20,6,46.18,NA,117.53,27708,NA,0,27708,"Historical"
"Goa",2018,0,20,6,46.18,NA,117.53,27708,NA,0,27708,"Historical"
"Goa",2019,0,20,6,46.18,NA,117.53,27708,NA,0,27708,"Historical"
"Goa",2020,0,21.96,5.735,46.18,NA,117.53,26484.23,NA,0,26484.23,"Historical"
"Goa",2021,0,23.92,5.47,46.18,NA,117.53,25260.46,NA,0,25260.46,"Historical"
"Goa",2022,0,23.835,6.53,46.18,NA,117.53,30155.54,NA,0,30155.54,"Historical"
"Goa",2023,0,23.75,7.59,46.18,NA,117.53,35050.62,NA,0,35050.62,"Historical"
"Goa",2024,0,24.4375000000006,8.07038442788563,46.18,NA,117.53,37269.0352879758,NA,0,37269.0352879758,"Forecast"
"Goa",2025,0,25.1250000000012,8.2131482264308,46.18,NA,117.53,37928.3185096574,NA,0,37928.3185096574,"Forecast"
"Goa",2026,0,25.8125000000019,8.39731071633526,46.18,NA,117.53,38778.7808880362,NA,0,38778.7808880362,"Forecast"
