"state","year","Carbon_Stock_Density_MgC_ha","Inventory_Carbon_Value","Scale_Factor","Spatial_Carbon_Scaled"
"Puducherry",2010,49.8250092533824,1725,104.411863978324,5202.32208888292
"Andhra Pradesh",2011,75.2812845251023,1014288,14179.0866016969,1067419.85276841
"Goa",2011,54.5830087181162,9236,378.700881715393,20670.6335282296
"Gujarat",2011,24.8734691098507,5987946,255625.405374137,6358290.62426666
"Karnataka",2011,45.4309139467625,33405,1231.02393462242,55926.5424402363
"Kerala",2011,61.6055592138107,50253,1148.02694499132,70724.8419387127
"Maharashtra",2011,36.9882942073309,1486518,48751.8144070896,1803246.45443062
"Odisha",2011,62.2559825571579,1432748,21507.5881060841,1338976.02997891
"Tamil Nadu",2011,58.6593289087925,161991,3642.14903057592,213646.017919392
"West Bengal",2011,59.1951364456726,14424253,224195.796592711,13271300.7698518
"Andaman and Nicobar",2011,83.3516405045182,6434522,74522.6723680353,6211586.99665647
"Puducherry",2011,59.9078763864919,0,104.411863978324,6255.09304049666
"Andhra Pradesh",2012,69.1562912976716,1015410,14179.0866016969,980573.043361862
"Goa",2012,49.2242916745801,9236,378.700881715393,18641.2826589791
"Gujarat",2012,23.2669556290207,6067100.5,255625.405374137,5947624.96449048
"Karnataka",2012,39.4558738644349,33405,1231.02393462242,48571.1250885627
"Kerala",2012,57.1266473797725,54440.75,1148.02694499132,65582.9304689964
"Maharashtra",2012,32.2539673434513,1486518,48751.8144070896,1572439.42982027
"Odisha",2012,56.7802486998923,1404618.5,21507.5881060841,1221206.2015983
"Tamil Nadu",2012,59.7455565971189,175540.75,3642.14903057592,217602.221041415
"West Bengal",2012,60.1190432574103,14055651.5,224195.796592711,13478436.7934867
"Andaman and Nicobar",2012,87.8227885308857,6370759,74522.6723680353,6544788.89613445
"Puducherry",2012,50.660539775893,2587.5,104.411863978324,5289.56138814903
"Andhra Pradesh",2013,75.8069742147697,1016532,14179.0866016969,1074873.65240382
"Goa",2013,50.1954021325355,9236,378.700881715393,19009.0430456499
"Gujarat",2013,22.7575865698628,6146255,255625.405374137,5817417.2922582
"Karnataka",2013,40.5244773505675,33405,1231.02393462242,49886.6015566129
"Kerala",2013,59.1496412502844,58628.5,1148.02694499132,67905.3819418963
"Maharashtra",2013,34.7147401601876,1486518,48751.8144070896,1692406.56947981
"Odisha",2013,64.6440930487882,1376489,21507.5881060841,1390338.52678471
"Tamil Nadu",2013,54.9364140686188,189090.5,3642.14903057592,200086.607243337
"West Bengal",2013,58.8287325611062,13687050,224195.796592711,13189154.5590767
"Andaman and Nicobar",2013,85.4367861505946,6306996,74522.6723680353,6366977.62247866
"Puducherry",2013,52.7626168502873,5175,104.411863978324,5509.04317371264
"Andhra Pradesh",2014,75.3147277164586,1042338,14179.0866016969,1067894.04667489
"Goa",2014,56.9012245010537,18472,378.700881715393,21548.5438892345
"Gujarat",2014,27.1096503330308,6152056,255625.405374137,6929915.35593211
"Karnataka",2014,44.4784050979602,33405,1231.02393462242,54753.981249421
"Kerala",2014,60.2718203367023,67971.75,1148.02694499132,69193.6737702098
"Maharashtra",2014,43.3952322684481,1624668,48751.8144070896,2115596.30970393
"Odisha",2014,67.4035616497145,1422848,21507.5881060841,1449688.04084511
"Tamil Nadu",2014,57.9469303537187,215524.25,3642.14903057592,211051.356212647
"West Bengal",2014,62.9344989031555,13701544,224195.796592711,14109650.114756
"Andaman and Nicobar",2014,89.2280722927523,6551298,74522.6723680353,6649514.39750415
"Puducherry",2014,59.4616584716159,7762.5,104.411863978324,6208.50259626394
"Andhra Pradesh",2015,76.7127849726781,1068144,14179.0866016969,1087717.22158495
"Goa",2015,58.9740809126217,27708,378.700881715393,22333.5364399648
"Gujarat",2015,26.17650784094,6157857,255625.405374137,6691380.42811957
"Karnataka",2015,50.9604010553669,33405,1231.02393462242,62733.4734171145
"Kerala",2015,63.4467484317214,77315,1148.02694499132,72838.5767717017
"Maharashtra",2015,43.0507279532908,1762818,48751.8144070896,2098801.09926894
"Odisha",2015,74.1580691046315,1469207,21507.5881060841,1594961.20504494
"Tamil Nadu",2015,56.8198044356383,241958,3642.14903057592,206946.195642773
"West Bengal",2015,59.0260383009847,13716038,224195.796592711,13233389.6766011
"Andaman and Nicobar",2015,91.6439946330403,6795600,74522.6723680353,6829555.38653605
"Puducherry",2015,66.0156752968363,10350,104.411863978324,6892.8197095305
"Andhra Pradesh",2016,76.1257832728915,962676,14179.0866016969,1079394.07364834
"Goa",2016,56.713504742443,27708,378.700881715393,21477.4542511333
"Gujarat",2016,25.9791773125425,6226146.5,255625.405374137,6640937.73180526
"Karnataka",2016,47.8847203198592,50533.5,1231.02393462242,58947.2368164474
"Kerala",2016,65.12596859606,77315,1148.02694499132,74766.3667669352
