"","Index","state","year","Value","lower80","upper80","lower95","upper95"
"77","EVI","ANDHRA PRADESH",2029,0.474301953320847,0.436224649710283,0.512379256931411,0.416067742765778,0.532536163875915
"78","EVI","ANDHRA PRADESH",2030,0.48063060457731,0.441512628489153,0.519748580665467,0.420804822812294,0.540456386342327
"79","EVI","GOA",2025,0.325115607,0.325115607,0.325115607,0.325115607,0.325115607
"80","EVI","GOA",2026,0.331486209320013,0.313168238175763,0.349804180464263,0.303471290000464,0.359501128639562
"81","EVI","GOA",2027,0.337856811640025,0.311951288412668,0.363762334867383,0.298237732789531,0.37747589049052
"82","EVI","GOA",2028,0.344227413960038,0.312499757246617,0.375955070673459,0.295704150328636,0.39275067759144
"83","EVI","GOA",2029,0.350598016280051,0.313962073991551,0.38723395856855,0.294568177640953,0.406627854919149
"84","EVI","GOA",2030,0.356968618600063,0.316008389911641,0.397928847288486,0.29432535461738,0.419611882582747
"85","EVI","GUJARAT",2025,0.198620529,0.198620529,0.198620529,0.198620529,0.198620529
"86","EVI","GUJARAT",2026,0.210485635439906,0.19919393837923,0.221777332500583,0.193216475026639,0.227754795853173
"87","EVI","GUJARAT",2027,0.215351099009776,0.203259279869992,0.227442918149559,0.196858257473995,0.233843940545556
"88","EVI","GUJARAT",2028,0.220216562579645,0.207374375939186,0.233058749220104,0.200576132982616,0.239856992176674
"89","EVI","GUJARAT",2029,0.225082026149514,0.211530958837028,0.238633093462,0.20435745712036,0.245806595178669
"90","EVI","GUJARAT",2030,0.229947489719384,0.215722824770547,0.24417215466822,0.208192742004631,0.251702237434136
"91","EVI","KARNATAKA",2025,0.340047218,0.340047218,0.340047218,0.340047218,0.340047218
"92","EVI","KARNATAKA",2026,0.347910543080028,0.3276054756186,0.368215610541457,0.316856622193791,0.378964463966266
"93","EVI","KARNATAKA",2027,0.355773868160056,0.327058166371204,0.384489569948909,0.311856992077878,0.399690744242234
"94","EVI","KARNATAKA",2028,0.363637193240084,0.328467784745777,0.398806601734392,0.309850224490897,0.417424161989272
"95","EVI","KARNATAKA",2029,0.371500518320113,0.330890383397256,0.412110653242969,0.309392676547638,0.433608360092587
"96","EVI","KARNATAKA",2030,0.379363843400141,0.333960332268668,0.424767354531614,0.309925165330613,0.448802521469668
"97","EVI","KERALA",2025,0.393401364,0.393401364,0.393401364,0.393401364,0.393401364
"98","EVI","KERALA",2026,0.40203926544,0.381764743469484,0.422313787410516,0.371032059850819,0.433046471029181
"99","EVI","KERALA",2027,0.41067716688,0.382004662938665,0.439349670821335,0.36682635620449,0.45452797755551
"100","EVI","KERALA",2028,0.41931506832,0.384198566167895,0.454431570472105,0.365609012838806,0.473021123801194
"101","EVI","KERALA",2029,0.42795296976,0.387403925818968,0.468502013701032,0.365938558581639,0.489967380938361
"102","EVI","KERALA",2030,0.4365908712,0.391255661862613,0.481926080537387,0.367256651710281,0.505925090689719
"103","EVI","MAHARASHTRA",2025,0.270799222,0.270799222,0.270799222,0.270799222,0.270799222
"104","EVI","MAHARASHTRA",2026,0.279362628124982,0.255919751072169,0.302805505177794,0.243509841586511,0.315215414663452
"105","EVI","MAHARASHTRA",2027,0.282333968307998,0.25686605114767,0.307801885468326,0.243384150183215,0.32128378643278
"106","EVI","MAHARASHTRA",2028,0.288523375353751,0.257499832617693,0.319546918089809,0.24107696112408,0.335969789583422
"107","EVI","MAHARASHTRA",2029,0.292860881073497,0.259127062210212,0.326594699936782,0.24126945720056,0.344452304946433
"108","EVI","MAHARASHTRA",2030,0.298264100672895,0.261005379887302,0.335522821458488,0.24128180451475,0.355246396831039
"109","EVI","ODISHA",2025,0.398924138,0.398924138,0.398924138,0.398924138,0.398924138
"110","EVI","ODISHA",2026,0.398924138,0.36787677928531,0.42997149671469,0.351441300374166,0.446406975625834
"111","EVI","ODISHA",2027,0.398924138,0.355016542229823,0.442831733770176,0.331773265049586,0.466075010950414
"112","EVI","ODISHA",2028,0.398924138,0.345148535265341,0.452699740734659,0.316681450744513,0.481166825255487
"113","EVI","ODISHA",2029,0.398924138,0.336829420570621,0.461018855429379,0.303958462748332,0.493889813251667
"114","EVI","ODISHA",2030,0.398924138,0.329500133392134,0.468348142607866,0.292749285304051,0.505098990695949
"115","EVI","TAMIL NADU",2025,0.352084,0.352084,0.352084,0.352084,0.352084
"116","EVI","TAMIL NADU",2026,0.352084,0.326553015878452,0.377614984121548,0.313037729281402,0.391130270718598
"117","EVI","TAMIL NADU",2027,0.352084,0.315977735994575,0.388190264005425,0.296864234389667,0.407303765610333
"118","EVI","TAMIL NADU",2028,0.352084,0.307863038334245,0.396304961665755,0.284453875269299,0.419714124730701
"119","EVI","TAMIL NADU",2029,0.352084,0.301022031756904,0.403145968243096,0.273991458562804,0.430176541437196
"120","EVI","TAMIL NADU",2030,0.352084,0.294994983971751,0.409173016028249,0.264773884405355,0.439394115594645
"121","EVI","WEST BENGAL",2025,0.36965863,0.36965863,0.36965863,0.36965863,0.36965863
"122","EVI","WEST BENGAL",2026,0.352092887673041,0.332803593039065,0.371382182307017,0.322592457268035,0.381593318078046
"123","EVI","WEST BENGAL",2027,0.36436876530579,0.343294739509143,0.385442791102438,0.332138824130427,0.396598706481154
"124","EVI","WEST BENGAL",2028,0.366143250519019,0.344320498153579,0.38796600288446,0.332768230871157,0.399518270166881
"125","EVI","WEST BENGAL",2029,0.367917735732248,0.345371106752977,0.390464364711519,0.333435642338387,0.402399829126109
